,Sub-Metric Code OR Sub-Activity Metric Code,Activity Metric Code,Sector Code,Industry Code,Disclosure Topic Code,Accounting Metric Code,Accounting Metric Category,Accounting Metric Unit of Measure,Sub-Metric Code,Sub-Metric Unit of Measure
4897,RT-AE-250a.2a,,RT,RT-AE,RT-AE-250a,RT-AE-250a.2,Quantitative,"Number, Percentage (%)",RT-AE-250a.2a,Number
4898,RT-AE-250a.2b,,RT,RT-AE,RT-AE-250a,RT-AE-250a.2,Quantitative,"Number, Percentage (%)",RT-AE-250a.2b,Percentage (%)
4899,RT-AE-250a.3a,,RT,RT-AE,RT-AE-250a,RT-AE-250a.3,Quantitative,Number,RT-AE-250a.3a,Number
4900,RT-AE-250a.3b,,RT,RT-AE,RT-AE-250a,RT-AE-250a.3,Quantitative,Number,RT-AE-250a.3b,Number
4901,RT-AE-250a.3c,,RT,RT-AE,RT-AE-250a,RT-AE-250a.3,Quantitative,Number,RT-AE-250a.3c,
4902,RT-AE-250a.4a,,RT,RT-AE,RT-AE-250a,RT-AE-250a.4,Quantitative,Reporting currency,RT-AE-250a.4a,Reporting currency
4903,RT-AE-250a.4b,,RT,RT-AE,RT-AE-250a,RT-AE-250a.4,Quantitative,Reporting currency,RT-AE-250a.4b,
4904,RT-AE-410a.1a,,RT,RT-AE,RT-AE-410a,RT-AE-410a.1,Quantitative,Reporting currency,RT-AE-410a.1a,Reporting currency
4905,RT-AE-410a.2a,,RT,RT-AE,RT-AE-410a,RT-AE-410a.2,Discussion and Analysis,,RT-AE-410a.2a,
4906,RT-AE-440a.1a,,RT,RT-AE,RT-AE-440a,RT-AE-440a.1,Discussion and Analysis,,RT-AE-440a.1a,
4907,RT-AE-510a.1a,,RT,RT-AE,RT-AE-510a,RT-AE-510a.1,Quantitative,Reporting currency,RT-AE-510a.1a,Reporting currency
4908,RT-AE-510a.1b,,RT,RT-AE,RT-AE-510a,RT-AE-510a.1,Quantitative,Reporting currency,RT-AE-510a.1b,
4909,RT-AE-510a.2a,,RT,RT-AE,RT-AE-510a,RT-AE-510a.2,Quantitative,Reporting currency,RT-AE-510a.2a,Reporting currency
4910,RT-AE-510a.3a,,RT,RT-AE,RT-AE-510a,RT-AE-510a.3,Discussion and Analysis,,RT-AE-510a.3a,
6326,FB-AG-000.Aa,,FB,FB-AG,FB-AG-000.A,,Quantitative,Metric tons (t),FB-AG-000.Aa,Metric tons (t)
6327,FB-AG-000.Ba,,FB,FB-AG,FB-AG-000.B,,Quantitative,Number,FB-AG-000.Ba,Number
6328,FB-AG-000.Ca,,FB,FB-AG,FB-AG-000.C,,Quantitative,Hectares,FB-AG-000.Ca,Hectares
6329,FB-AG-000.Da,,FB,FB-AG,FB-AG-000.D,,Quantitative,Reporting currency,FB-AG-000.Da,Reporting currency
6330,FB-AG-110a.1a,,FB,FB-AG,FB-AG-110a,FB-AG-110a.1,Quantitative,Metric tons (t) CO₂-e,FB-AG-110a.1a,Metric tons (t) CO₂-e
6331,FB-AG-110a.2a,,FB,FB-AG,FB-AG-110a,FB-AG-110a.2,Discussion and Analysis,,FB-AG-110a.2a,
6332,FB-AG-110a.3a,,FB,FB-AG,FB-AG-110a,FB-AG-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-110a.3a,Gigajoules (GJ)
6333,FB-AG-110a.3b,,FB,FB-AG,FB-AG-110a,FB-AG-110a.3,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-110a.3b,Percentage (%)
6334,FB-AG-130a.1a,,FB,FB-AG,FB-AG-130a,FB-AG-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-130a.1a,Gigajoules (GJ)
6335,FB-AG-130a.1b,,FB,FB-AG,FB-AG-130a,FB-AG-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-130a.1b,Percentage (%)
6336,FB-AG-130a.1c,,FB,FB-AG,FB-AG-130a,FB-AG-130a.1,Quantitative,"Gigajoules (GJ), Percentage (%)",FB-AG-130a.1c,Percentage (%)
6337,FB-AG-140a.1a,,FB,FB-AG,FB-AG-140a,FB-AG-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",FB-AG-140a.1a,Thousand cubic meters (m³)
6338,FB-AG-140a.1b,,FB,FB-AG,FB-AG-140a,FB-AG-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",FB-AG-140a.1b,Thousand cubic meters (m³)
6339,FB-AG-140a.1c,,FB,FB-AG,FB-AG-140a,FB-AG-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",FB-AG-140a.1c,Percentage (%)
6340,FB-AG-140a.1d,,FB,FB-AG,FB-AG-140a,FB-AG-140a.1,Quantitative,"Thousand cubic meters (m³), Percentage (%)",FB-AG-140a.1d,Percentage (%)
6341,FB-AG-140a.2a,,FB,FB-AG,FB-AG-140a,FB-AG-140a.2,Discussion and Analysis,,FB-AG-140a.2a,
6342,FB-AG-140a.3a,,FB,FB-AG,FB-AG-140a,FB-AG-140a.3,Quantitative,Number,FB-AG-140a.3a,Number
6343,FB-AG-250a.1a,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1a,Rate
6344,FB-AG-250a.1b,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1b,Rate
6345,FB-AG-250a.1c,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1c,Rate
6346,FB-AG-250a.1d,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1d,Rate
6347,FB-AG-250a.1e,,FB,FB-AG,FB-AG-250a,FB-AG-250a.1,Quantitative,Rate,FB-AG-250a.1e,Rate
6348,FB-AG-250a.2a,,FB,FB-AG,FB-AG-250a,FB-AG-250a.2,Quantitative,Percentage (%) by cost,FB-AG-250a.2a,Percentage (%) by cost
6349,FB-AG-250a.3a,,FB,FB-AG,FB-AG-250a,FB-AG-250a.3,Quantitative,"Number, Metric tons (t)",FB-AG-250a.3a,Number
6350,FB-AG-250a.3b,,FB,FB-AG,FB-AG-250a,FB-AG-250a.3,Quantitative,"Number, Metric tons (t)",FB-AG-250a.3b,Metric tons (t)
6351,FB-AG-250a.3c,,FB,FB-AG,FB-AG-250a,FB-AG-250a.3,Quantitative,"Number, Metric tons (t)",FB-AG-250a.3c,
6352,FB-AG-320a.1a,,FB,FB-AG,FB-AG-320a,FB-AG-320a.1,Quantitative,Rate,FB-AG-320a.1a,Rate
